SYMBOL,Name,ISIN,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,TIMESTAMP
NSE:EVERESTIND,Everest Industries Limited,INE295A01018,EQ,560.25,579.9,546.8,553.25,555,31-Jan-18
NSE:EXCELCROP,Excel Crop Care Limited,INE223G01017,EQ,3564.95,3640,3501,3576.75,3585,31-Jan-18
NSE:EXCELINDUS,Excel Industries Limited,INE369A01029,EQ,709,729.95,697.5,705.1,709.95,31-Jan-18
NSE:EXIDEIND,Exide Industries Limited,INE302A01020,EQ,224,228.05,220.2,223.35,221.15,31-Jan-18
NSE:FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,EQ,61.4,64,60.2,63.35,63.4,31-Jan-18
NSE:FAIRCHEM,Fairchem Speciality Limited,INE959A01019,EQ,409.7,412.65,402,410,410,31-Jan-18
NSE:FCL,Fineotex Chemical Limited,INE045J01026,EQ,63.75,68.9,63.75,68.15,68.45,31-Jan-18
NSE:FCONSUMER,Future Consumer Limited,INE220J01025,EQ,65.5,65.5,62.6,63.2,63.95,31-Jan-18
NSE:FDC,FDC Limited,INE258B01022,EQ,234.3,236.8,227,230.7,230,31-Jan-18
NSE:FEDDERELEC,Fedders Electric and Engineering Limited,INE249C01011,EQ,79,80.2,77.5,78.8,79.3,31-Jan-18
NSE:FEDERALBNK,The Federal Bank  Limited,INE171A01029,EQ,101,101.9,98.9,100.45,100.75,31-Jan-18
NSE:FEL,Future Enterprises Limited,INE623B01027,EQ,42.4,42.95,42.1,42.6,42.7,31-Jan-18
NSE:FELDVR,Future Enterprises Limited,IN9623B01058,EQ,41.05,42.5,40.75,41.25,41,31-Jan-18
NSE:FIEMIND,Fiem Industries Limited,INE737H01014,EQ,931.05,942.05,924,930.95,930,31-Jan-18
NSE:FILATEX,Filatex India Limited,INE816B01019,EQ,218.75,218.75,210.05,213.2,212.25,31-Jan-18
NSE:FINCABLES,Finolex Cables Limited,INE235A01022,EQ,734.8,744,720.05,735.05,742,31-Jan-18
NSE:FINPIPE,Finolex Industries Limited,INE183A01016,EQ,649.85,649.85,634.2,646.6,645,31-Jan-18
NSE:FIRSTWIN,First Winner Industries Limited,INE315J01015,EQ,3.3,3.3,3.25,3.3,3.3,31-Jan-18
